day,interval,detid,flow,occ,error,city,speed
2017-09-21,64200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,240.0,5.00427604740273,,groningen,47.9589850213324
2017-09-21,64500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,264.0,6.14043455219926,,groningen,42.9936998360231
2017-09-21,64800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,108.0,2.05554035567715,,groningen,52.5409290563024
2017-09-21,65100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,216.0,4.94025974025974,,groningen,43.7223974763407
2017-09-21,65400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,324.0,7.63641229256658,,groningen,42.4283010904725
2017-09-21,65700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,180.0,4.15172559411281,,groningen,43.3554665210152
2017-09-21,66000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,156.0,3.16972884258599,,groningen,49.2155662983239
2017-09-21,66300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,180.0,3.78972579360564,,groningen,47.4968400889879
2017-09-21,66600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,180.0,4.04873287806419,,groningen,44.458354112525
2017-09-21,66900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,204.0,3.95862364585769,,groningen,51.5330625616472
2017-09-21,67200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,216.0,4.6175040833787,,groningen,46.7785184592515
